FishID,pop,sex,habitat_temp,pair,state,subgroup,latitude,accl_order,wam_date12,wam_length12,wam_mass12,tenth_perc_MO2_mg_hr12,tenth_perc_MO2_mg_hr_kg12,wam_date28,wam_length28,wam_mass28,tenth_perc_MO2_mg_hr28,tenth_perc_MO2_mg_hr_kg28,ctmax_length12,ctmax_mass12,ctmax_date12,ctmax12,ctmax_length28,ctmax_mass28,ctmax_date28,ctmax28,cam_date,cam_length,cam_mass,heart_mass,Glucose_MR_pmol_s12,FA_MR_pmol_s12,LKA_MR_pmol_s12,Endogenous_MR_pmol_s12,Glucose_MR_pmol_s28,FA_MR_pmol_s28,LKA_MR_pmol_s28,Endogenous_MR_pmol_s28
G3O4G5,PENME,F,21.35523,PENME-DIME,ME,N,44.4663861,12 to 28,4/11/19,68,9,3.023989738,0.000335999,6/12/19,69,9,5.752449707,0.000639161,68,9,5/15/19,34.74,69,9,7/2/19,41.6,7/25/19,74,10.7,0.012,NA,NA,NA,NA,50.40444513,36.50368808,37.83376282,23.21725133
O2G3G4,EHMA,F,19.31422,RVMA-EHMA,MA,N,41.82633,12 to 28,4/11/19,72,10,2.718485817,0.000271849,6/11/19,72,9.7,7.711503106,0.000795,72,10,5/14/19,34.68,72,9.7,6/24/19,41.86,7/24/19,75,10.5,0.008,NA,NA,NA,NA,39.67587733,30.68096676,9.290739594,NA
O4G5P6,EHMA,M,19.31422,RVMA-EHMA,MA,N,41.82633,12 to 28,4/11/19,63,6.1,2.369634162,0.000388465,6/12/19,71,8.4,9.11182714,0.001084741,63,6.1,5/15/19,33.63,71,8.4,7/2/19,41.42,7/25/19,80,12.1,0.014,NA,NA,NA,NA,49.8449618,45.44527294,42.95988598,29.74761012
P3R5R6,OCME,M,18.06903,OCME-PEAME,ME,N,44.421147,12 to 28,4/11/19,59,5,2.36354031,0.000472708,6/10/19,63,5.1,4.46772103,0.000876024,59,5,5/15/19,32.99,63,5.1,6/24/19,41.64,7/23/19,66,5.8,0.006,NA,NA,NA,NA,41.7458484,17.97438945,7.922523062,NA
P1G4R5,RVMA,F,23.49572,RVMA-EHMA,MA,N,41.674169,12 to 28,4/24/19,72,11.9,2.438810321,0.000204942,6/14/19,78,11.2,8.265796345,0.000738018,72,11.9,5/1/19,34.5,78,11.2,7/3/19,41.43,7/29/19,76,11.7,0.013,NA,NA,NA,NA,50.5090088,27.96973609,21.49385094,27.11276454
G1R2P4,PEAME,F,15.63283,OCME-PEAME,ME,N,44.29059,12 to 28,4/24/19,68,7.8,2.117065929,0.000271419,6/27/19,67,6.8,1.953974746,287.3492273,68,7.8,5/1/19,34.44,67,6.8,7/11/19,41.78,7/30/19,69,7.8,0.006,NA,NA,NA,NA,30.88810662,23.92063389,12.0038285,7.457305997
O1R4P6,PEAME,F,15.63283,OCME-PEAME,ME,N,44.29059,12 to 28,4/24/19,67,7.6,1.906547639,0.000250862,NA,NA,NA,NA,NA,67,7.6,5/1/19,31.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
O2O4O6,PENME,M,21.35523,PENME-DIME,ME,N,44.4663861,12 to 28,4/24/19,76,9.7,1.853766015,0.00019111,6/14/19,79,9.6,5.299076229,0.000551987,76,9.7,5/1/19,32.94,79,9.6,7/3/19,40.95,7/29/19,81,12.4,0.013,NA,NA,NA,NA,53.75904877,36.29098668,27.12775618,24.11814732
P1G3G5,PEAME,F,15.63283,OCME-PEAME,ME,N,44.29059,12 to 28,4/24/19,71,9.2,2.051018411,0.000222937,NA,NA,NA,NA,NA,71,9.2,5/1/19,33.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
O1O3R5,RVMA,F,23.49572,RVMA-EHMA,MA,N,41.674169,12 to 28,4/24/19,77,13.3,3.580701521,0.000269226,6/27/19,86,11.9,2.198658192,184.7611926,77,13.3,5/1/19,35.19,86,11.9,7/11/19,41.79,7/30/19,80,13.8,0.011,NA,NA,NA,NA,42.27860057,NA,14.75748267,12.06081834
