"","FishID","pop","sex","habitat_temp","pair","state","subgroup","latitude","accl_order","wam_date","wam_length","wam_mass","tenth_perc_MO2_mg_hr","tenth_perc_MO2_mg_hr_kg","ctmax_length","ctmax_mass","ctmax_date","ctmax","cam_date","cam_length","cam_mass","heart_mass","Glucose_MR_pmol_s","FA_MR_pmol_s","LKA_MR_pmol_s","Endogenous_MR_pmol_s"
"192","O2G3P5","PEAME","F",15.63283,"OCME-PEAME","ME","N",44.29059,"28 to 12","6/21/19",72,9.5,1.561421248,164.3601313,72,9.5,"7/10/19",35.65,"8/6/19",74,10.3,0.011,36.11022482,33.88144681,51.87396023,27.62687585
"194","R2P4R6","OCME","M",18.06903,"OCME-PEAME","ME","N",44.421147,"28 to 12","6/21/19",63,5.8,1.065425644,183.6940765,63,5.8,"7/10/19",35.19,"8/6/19",64,5.6,0.007,23.91733667,21.76863132,20.68898338,3.882462658
"197","G1G3P5","DIME","M",16.92318,"PENME-DIME","ME","N",44.165011,"28 to 12","6/21/19",67,6.9,1.383537915,200.5127413,67,6.9,"7/10/19",35.07,"8/6/19",71,7.7,0.012,60.55050714,36.98962694,31.66584032,25.0840475
"198","O1O3O6","PENME","M",21.35523,"PENME-DIME","ME","N",44.4663861,"28 to 12","6/21/19",75,10.7,1.43235241,133.8647112,75,10.7,"7/10/19",36.35,"8/7/19",79,11.5,0.014,40.63009972,33.79190465,32.21900402,29.5736551
"200","G1O2P3","OCME","M",18.06903,"OCME-PEAME","ME","N",44.421147,"28 to 12","6/21/19",58,4.1,1.201141768,292.9614067,58,4.1,"7/10/19",34.92,"8/6/19",59,4,0.008,24.09511684,20.53982087,18.96889766,11.79574213
"201","P2G3G4","OCME","M",18.06903,"OCME-PEAME","ME","N",44.421147,"28 to 12","6/21/19",64,5.9,1.290760621,218.7729867,64,5.9,"7/10/19",35.11,"8/7/19",64,6.3,0.007,26.77053748,14.49565182,16.63127929,13.88183747
"202","R2P3G5","RVMA","M",23.49572,"RVMA-EHMA","MA","N",41.674169,"28 to 12","6/21/19",74,9.9,1.445163317,145.9760927,74,9.9,"7/10/19",36.89,"8/6/19",74,9.8,0.013,28.21883406,31.16413616,32.74600652,26.71160707
"203","P3G5O6","PENME","F",21.35523,"PENME-DIME","ME","N",44.4663861,"28 to 12","6/21/19",80,10.5,1.552696363,147.8758441,80,10.5,"7/10/19",36,"8/7/19",69,7.7,0.017,31.36471421,22.75055268,24.33796507,26.10992791
"204","G1G3O6","RVMA","M",23.49572,"RVMA-EHMA","MA","N",41.674169,"28 to 12","6/21/19",74,9.8,1.314258759,134.1080366,74,9.8,"7/10/19",36.2,"8/7/19",73,10.2,0.014,32.31274194,22.4357345,25.84513679,23.43619655
"205","R2G3P4","PENME","M",21.35523,"PENME-DIME","ME","N",44.4663861,"28 to 12","6/21/19",74,7.5,1.236673121,164.8897494,74,7.5,"7/10/19",35.78,"8/6/19",71,8.1,0.01,27.73762556,22.52417123,26.22842611,21.28462075
"206","G3R4O5","DIME","M",16.92318,"PENME-DIME","ME","N",44.165011,"28 to 12","6/21/19",81,10.6,1.808751878,170.6369697,81,10.6,"7/10/19",35.67,"8/7/19",81,11.5,0.02,44.94308615,32.79105542,33.11840797,32.44160434
"207","G2R5G6","PENME","F",21.35523,"PENME-DIME","ME","N",44.4663861,"28 to 12","6/21/19",75,8.9,1.349995439,151.6848808,75,8.9,"7/10/19",35.27,"8/6/19",72,9.1,0.011,28.75457975,21.92833124,20.43687185,21.55368087
"209","R1P5O6","PEAME","F",15.63283,"OCME-PEAME","ME","N",44.29059,"28 to 12","6/24/19",71,7.9,2.013344174,254.8536929,71,7.9,"7/10/19",36.21,"8/6/19",74,8.6,0.01,30.78757141,23.30182631,28.99085256,26.603147
"210","G3O4R5","PENME","M",21.35523,"PENME-DIME","ME","N",44.4663861,"28 to 12","6/24/19",80,10.5,1.669743611,159.023201,80,10.5,"7/10/19",35.76,"8/7/19",79,11.5,0.017,49.76995853,28.9785964,33.6981948,29.10700588
"211","G2P5P6","RVMA","F",23.49572,"RVMA-EHMA","MA","N",41.674169,"28 to 12","6/24/19",70,8.3,1.574738145,189.7274873,70,8.3,"7/10/19",35.64,"8/6/19",71,9.4,0.011,46.60417171,31.13825256,21.117587,18.89706986
"218","P2R5O6","PEAME","F",15.63283,"OCME-PEAME","ME","N",44.29059,"28 to 12","6/25/19",75,8.8,5.101842994,579.7548857,75,8.8,"7/11/19",34.26,"8/7/19",75,9.6,0.018,52.4299549,29.97459319,30.70621917,25.34780718
"220","G1G2R6","PEAME","M",15.63283,"OCME-PEAME","ME","N",44.29059,"28 to 12","6/25/19",71,9,4.715341003,523.9267781,71,9,"7/11/19",35.56,"8/7/19",72,9.7,0.011,29.57631414,17.11116332,17.16251054,15.59798078
"222","O1G2G6","PEAME","M",15.63283,"OCME-PEAME","ME","N",44.29059,"28 to 12","6/25/19",61,5.7,4.243193449,744.4199033,61,5.7,"7/11/19",35.27,"8/7/19",64,6.6,0.007,30.53422785,19.76017323,17.91309906,16.13513638
"224","G1P3O6","PEAME","M",15.63283,"OCME-PEAME","ME","N",44.29059,"28 to 12","6/25/19",71,7.7,5.400994081,701.4278027,71,7.7,"7/11/19",35.01,"8/7/19",72,8.6,0.01,31.07774284,19.00073681,17.98542859,14.33692136
"225","G2R3P6","DIME","M",16.92318,"PENME-DIME","ME","N",44.165011,"28 to 12","6/25/19",65,6.6,4.155371584,629.6017552,65,6.6,"7/11/19",35.32,"8/7/19",69,6.9,0.007,14.23655191,16.10310559,15.65212999,14.95207063
"231","O1R2P6","RVMA","M",23.49572,"RVMA-EHMA","MA","N",41.674169,"28 to 12","6/25/19",81,12.6,5.19598892,412.380073,81,12.6,"7/11/19",35.84,"8/7/19",79,13.1,0.023,61.87901389,43.26417957,39.27420872,39.05113044
"235","O3G5P6","EHMA","M",19.31422,"RVMA-EHMA","MA","N",41.82633,"28 to 12","6/25/19",71,8.4,4.120768806,490.567715,71,8.4,"7/11/19",36.22,"8/7/19",71,8.2,0.009,30.85611922,18.97294101,22.82307892,18.18673715
"236","O3G5G6","DIME","F",16.92318,"PENME-DIME","ME","N",44.165011,"28 to 12","6/25/19",68,6.6,5.250844463,795.5824943,68,6.6,"7/11/19",34.6,"8/7/19",69,7.2,0.012,20.23863222,12.10145136,20.43238907,15.94219822
"245","G1O2R4","SOCNJ","M",27.17952,"NJ","NJ","S",39.78,"28 to 12","5/23/19",78,13.9,1.941205323,139.6550592,78,13.9,"5/30/19",36.91,"6/7/19",78,14.5,0.023,52.64704229,19.5711885,39.06056545,31.59565901
"247","G2R4P5","NOCNJ","F",27.10122,"NJ","NJ","S",39.87,"28 to 12","5/23/19",66,7.9,1.320004648,167.089196,66,7.9,"5/30/19",35.91,"6/7/19",67,8.8,0.012,34.03409741,12.86026963,22.8099716,8.833151731
"248","G2R4P6","OCENJ","M",30.57388,"NJ","NJ","S",39.81,"28 to 12","5/23/19",85,16.8,2.073702447,123.4346695,85,16.8,"5/30/19",37.73,"6/7/19",85,17.5,0.031,49.97380441,27.81507513,43.63829538,35.43498222
"249","O1G2G5","NOCNJ","M",27.10122,"NJ","NJ","S",39.87,"28 to 12","5/23/19",64,7.7,1.870174662,242.8798262,64,7.7,"5/30/19",37.48,"6/7/19",66,7.9,0.01,35.09606679,13.54928292,20.31850748,14.30799669
"250","O1G2O6","OCENJ","M",30.57388,"NJ","NJ","S",39.81,"28 to 12","5/23/19",68,6.5,2.173303596,334.3543993,68,6.5,"5/30/19",37.3,"6/7/19",68,9.5,0.057,89.06390106,49.08410592,62.87840514,26.77047331
"252","O1R2G6","OCENJ","F",30.57388,"NJ","NJ","S",39.81,"28 to 12","5/23/19",75,11.1,1.483874918,133.6824251,75,11,"5/30/19",36.71,"6/7/19",72,10.8,0.012,41.18437619,16.71932677,26.88345476,18.27042743
"253","O1R4G5","NOCNJ","F",27.10122,"NJ","NJ","S",39.87,"28 to 12","5/23/19",68,9.5,1.205729838,126.9189303,68,9.5,"5/30/19",37.57,"6/7/19",71,10.4,0.016,49.4199796,21.61569382,34.63758917,29.34295244
"258","R1O2P5","SOCNJ","M",27.17952,"NJ","NJ","S",39.78,"28 to 12","5/23/19",61,6.1,1.001244896,164.1385076,61,6.1,"5/30/19",37.84,"6/7/19",61,6.1,0.019,42.32233098,21.57938912,23.26825515,14.47020963
"259","R1P3O4","SOCNJ","F",27.17952,"NJ","NJ","S",39.78,"28 to 12","5/23/19",77,12.5,1.89331815,151.465452,77,12.5,"5/30/19",37.16,"6/7/19",78,12.3,0.015,55.88286559,15.89306492,24.49742681,3.854334246
"260","R2O3G4","SOCNJ","F",27.17952,"NJ","NJ","S",39.78,"28 to 12","5/23/19",82,17.9,2.381491492,133.0442174,82,17.9,"5/30/19",37.18,"6/7/19",82,17.5,0.022,64.42699683,10.72428741,39.76007471,28.47753822
"261","R3O5G6","OCENJ","M",30.57388,"NJ","NJ","S",39.81,"28 to 12","5/23/19",64,8.7,1.147873071,131.9394334,64,8.7,"5/30/19",37.78,"6/7/19",64,8.5,0.009,39.22621652,19.83492832,25.34764391,7.578869111
"263","G1P3P5","SOCNJ","F",27.17952,"NJ","NJ","S",39.78,"28 to 12","5/27/19",78,18,2.237359038,124.2977243,78,18,"6/17/19",36.29,"6/24/19",80,19.9,0.026,80.61011742,43.9238756,38.75840208,43.5447507
"264","G2G3O4","OCENJ","F",30.57388,"NJ","NJ","S",39.81,"28 to 12","5/27/19",82,17,2.018219478,118.7187928,82,17,"6/17/19",37.92,"6/25/19",91,17.5,0.025,4.606692144,61.03539264,30.95453758,26.9123655
"265","G2G4R5","SOCNJ","M",27.17952,"NJ","NJ","S",39.78,"28 to 12","5/27/19",81,17.3,2.044472297,118.1775894,81,17.3,"6/17/19",36.84,"6/24/19",83,19.7,0.021,55.11068225,65.05816255,39.99301589,49.34245087
"266","G2O3O4","NOCNJ","M",27.10122,"NJ","NJ","S",39.87,"28 to 12","5/27/19",62,6.9,1.2077012,175.0291594,62,6.9,"6/18/19",34.74,"6/25/19",66,7.5,0.012,33.67424857,56.03719877,23.45836108,24.4934672
