"","FishID","pop","sex","habitat_temp","pair","state","subgroup","latitude","accl_order","wam_date","wam_length","wam_mass","tenth_perc_MO2_mg_hr","tenth_perc_MO2_mg_hr_kg","ctmax_length","ctmax_mass","ctmax_date","ctmax","cam_date","cam_length","cam_mass","heart_mass","Glucose_MR_pmol_s","FA_MR_pmol_s","LKA_MR_pmol_s","Endogenous_MR_pmol_s"
"15","G1P2R3","PEAME","F",15.63283,"OCME-PEAME","ME","N",44.29059,"12 to 28","6/11/19",67,8.3,8.153018751,0.000982291,67,8.3,"6/25/19",41.77,"7/24/19",74,8.1,0.008,37.79644424,33.23637039,9.075620214,25.37209919
"16","O3O4R5","RVMA","M",23.49572,"RVMA-EHMA","MA","N",41.674169,"12 to 28","6/10/19",78,10.7,6.115798788,0.00057157,78,10.7,"6/24/19",41.14,"7/23/19",77,12.1,0.015,74.75285579,46.43300633,46.40322473,28.61335706
"18","R1R2G6","DIME","F",16.92318,"PENME-DIME","ME","N",44.165011,"12 to 28","6/11/19",80,9.3,6.44080126,0.000692559,80,9.3,"6/25/19",41.54,"7/24/19",82,11.8,0.015,45.08052947,30.84436082,19.07671337,13.03451644
"19","P3P4R5","DIME","M",16.92318,"PENME-DIME","ME","N",44.165011,"12 to 28","6/12/19",82,11.7,4.226948162,0.000361278,82,11.7,"6/25/19",40.97,"7/25/19",84,14.1,0.016,65.92879069,36.42242075,25.94680749,16.16221043
"20","P2G3P4","OCME","F",18.06903,"OCME-PEAME","ME","N",44.421147,"12 to 28","6/12/19",65,6.4,5.882189121,0.000919092,65,6.4,"7/2/19",40.94,"7/25/19",66,7.1,0.003,46.72260043,32.4727678,26.29938131,13.72322654
"21","G1P2R5","PENME","F",21.35523,"PENME-DIME","ME","N",44.4663861,"12 to 28","6/10/19",81,10.4,5.045861111,0.000485179,81,10.4,"6/24/19",41.6,"7/23/19",84,11.4,0.01,47.30757381,26.89987227,26.06263732,9.741959
"24","O1R3R6","RVMA","M",23.49572,"RVMA-EHMA","MA","N",41.674169,"12 to 28","6/11/19",75,10.5,6.110220809,0.000581926,75,10.5,"6/24/19",42.2,"7/24/19",80,13,0.011,53.59806063,36.26296935,29.05658983,19.33413069
"25","O1O2R4","DIME","M",16.92318,"PENME-DIME","ME","N",44.165011,"12 to 28","6/11/19",70,8.4,3.770788071,0.000448903,70,8.4,"6/25/19",41.25,"7/24/19",70,9,0.01,54.23853327,38.1035642,36.65091717,28.48879726
"26","R2R4R5","PENME","M",21.35523,"PENME-DIME","ME","N",44.4663861,"12 to 28","6/10/19",73,8.3,6.556968572,0.000789996,73,8.3,"6/24/19",41.45,"7/23/19",72,10.6,0.012,56.68042036,38.03209746,27.31237386,11.82927889
"27","G3O4G5","PENME","F",21.35523,"PENME-DIME","ME","N",44.4663861,"12 to 28","6/12/19",69,9,5.752449707,0.000639161,69,9,"7/2/19",41.6,"7/25/19",74,10.7,0.012,50.40444513,36.50368808,37.83376282,23.21725133
"29","O4G5P6","EHMA","M",19.31422,"RVMA-EHMA","MA","N",41.82633,"12 to 28","6/12/19",71,8.4,9.11182714,0.001084741,71,8.4,"7/2/19",41.42,"7/25/19",80,12.1,0.014,49.8449618,45.44527294,42.95988598,29.74761012
"31","P1G4R5","RVMA","F",23.49572,"RVMA-EHMA","MA","N",41.674169,"12 to 28","6/14/19",78,11.2,8.265796345,0.000738018,78,11.2,"7/3/19",41.43,"7/29/19",76,11.7,0.013,50.5090088,27.96973609,21.49385094,27.11276454
"32","G1R2P4","PEAME","F",15.63283,"OCME-PEAME","ME","N",44.29059,"12 to 28","6/27/19",67,6.8,1.953974746,287.3492273,67,6.8,"7/11/19",41.78,"7/30/19",69,7.8,0.006,30.88810662,23.92063389,12.0038285,7.457305997
"34","O2O4O6","PENME","M",21.35523,"PENME-DIME","ME","N",44.4663861,"12 to 28","6/14/19",79,9.6,5.299076229,0.000551987,79,9.6,"7/3/19",40.95,"7/29/19",81,12.4,0.013,53.75904877,36.29098668,27.12775618,24.11814732
"38","P1O5R6","PENME","F",21.35523,"PENME-DIME","ME","N",44.4663861,"12 to 28","6/13/19",66,6.4,3.473112657,0.000542674,66,6.4,"7/2/19",41.11,"7/26/19",69,7.6,0.009,27.26482155,8.375907995,11.99393617,6.238629032
"39","P2R4G6","DIME","M",16.92318,"PENME-DIME","ME","N",44.165011,"12 to 28","6/27/19",69,7,1.563417567,223.3453667,69,7,"7/11/19",41.37,"7/30/19",75,9.1,0.007,26.75332492,20.44595451,14.52735673,11.33485055
"40","R2O4G6","RVMA","M",23.49572,"RVMA-EHMA","MA","N",41.674169,"12 to 28","6/14/19",71,7.6,6.367729659,0.000837859,71,7.6,"7/3/19",41.92,"7/29/19",71,8.8,0.0014,37.39737935,34.41947125,24.66952828,22.74046136
"42","P1P4P6","OCME","M",18.06903,"OCME-PEAME","ME","N",44.421147,"12 to 28","6/13/19",70,6.9,1.379659049,0.000199951,70,6.9,"7/3/19",41.08,"7/26/19",73,8.8,0.007,33.90060307,29.08093462,17.69303042,8.386893588
"43","G1R4R6","PENME","F",21.35523,"PENME-DIME","ME","N",44.4663861,"12 to 28","6/13/19",72,11.3,3.523274837,0.000311794,72,11.3,"7/3/19",40.76,"7/26/19",72,10.8,0.011,35.20392727,28.11727485,15.9498682,12.13206339
"46","R3G4R6","PENME","M",21.35523,"PENME-DIME","ME","N",44.4663861,"12 to 28","6/14/19",79,8,5.839012682,0.000729877,79,8,"7/3/19",40.83,"7/29/19",76,8.8,0.009,32.69538798,22.16047875,14.81629358,19.48773308
"47","G1O5R6","RVMA","F",23.49572,"RVMA-EHMA","MA","N",41.674169,"12 to 28","6/10/19",66,6.8,3.746239122,0.000550918,66,6.8,"6/24/19",42.05,"7/23/19",72,8.3,0.007,43.92250813,31.5799917,19.32442951,1.845638948
"49","G4G5O6","PENME","F",21.35523,"PENME-DIME","ME","N",44.4663861,"12 to 28","6/14/19",80,14.7,8.811023597,0.000599389,80,14.7,"7/3/19",40.83,"7/29/19",87,19.1,0.02,49.25129516,40.56252261,32.69074331,34.94836228
"51","P1G2O4","OCME","M",18.06903,"OCME-PEAME","ME","N",44.421147,"12 to 28","6/12/19",66,6.7,6.017135715,0.00089808,66,6.7,"6/25/19",41.34,"7/25/19",71,8.7,0.012,43.53803118,30.57819433,30.69066869,13.29335753
"52","R1P3R6","PEAME","M",15.63283,"OCME-PEAME","ME","N",44.29059,"12 to 28","6/10/19",63,5.4,5.498157996,0.001018177,63,5.4,"6/24/19",41.55,"7/23/19",66,6.4,0.005,45.90577188,24.72794599,18.72095739,3.768724715
"53","R4O5R6","PENME","M",21.35523,"PENME-DIME","ME","N",44.4663861,"12 to 28","6/11/19",61,4.2,5.969990565,0.001421426,61,4.2,"6/25/19",41.5,"7/24/19",63,5.4,0.005,62.43686863,22.08925661,8.941592949,17.05157475
"65","G2O3P6","PENME","M",21.35523,"PENME-DIME","ME","N",44.4663861,"12 to 28","6/27/19",67,6.4,1.591201113,248.625174,67,6.4,"7/11/19",41.19,"7/30/19",71,7.6,0.01,26.66929008,17.17570187,7.085997166,5.564518046
"66","P2R3P6","RVMA","F",23.49572,"RVMA-EHMA","MA","N",41.674169,"12 to 28","6/14/19",66,7.6,5.362093436,0.000705539,66,7.6,"7/3/19",41.18,"7/29/19",68,9,0.009,33.82213231,17.99513378,9.685546477,14.15270417
"68","O1P2R6","DIME","M",16.92318,"PENME-DIME","ME","N",44.165011,"12 to 28","6/14/19",67,5.9,5.833944087,0.000988804,67,5.9,"7/3/19",41.2,"7/29/19",69,6.6,0.011,26.18351189,20.61506974,15.72147694,16.59373547
"69","O1O2G5","RVMA","M",23.49572,"RVMA-EHMA","MA","N",41.674169,"12 to 28","6/27/19",79,11.8,2.359215043,199.9334782,79,11.8,"7/11/19",41.33,"7/30/19",83,13.8,0.016,47.0277367,31.89777722,25.55966686,16.27356236
"73","G3O5P6","EHMA","F",19.31422,"RVMA-EHMA","MA","N",41.82633,"12 to 28","6/13/19",74,11.2,5.571465145,0.000497452,74,11.2,"7/3/19",41.6,"7/26/19",75,11.7,0.016,47.08913154,33.89726725,24.85972904,15.26426195
"75","G1O3G5","PENME","M",21.35523,"PENME-DIME","ME","N",44.4663861,"12 to 28","6/27/19",70,7.8,2.095240839,268.6206204,70,7.8,"7/11/19",41.46,"7/30/19",72,9.4,0.013,41.38410276,24.91708859,24.25918185,14.77856948
"77","P1O3P4","EHMA","M",19.31422,"RVMA-EHMA","MA","N",41.82633,"12 to 28","6/13/19",79,12.8,8.57290413,0.000669758,79,12.8,"7/2/19",41.8,"7/26/19",84,15.2,0.015,45.15723263,49.26354702,41.37921282,35.86987404
"79","R2G5G6","PEAME","M",15.63283,"OCME-PEAME","ME","N",44.29059,"12 to 28","6/27/19",72,7.6,1.735718983,228.3840767,72,7.6,"7/11/19",41.26,"7/30/19",73,8.4,0.009,30.52025873,21.2637087,12.2815927,9.665891628
"80","G1O2P5","PEAME","M",15.63283,"OCME-PEAME","ME","N",44.29059,"12 to 28","6/27/19",64,5.9,1.645867759,278.9606371,64,5.9,"7/11/19",41.48,"7/30/19",69,6.4,0.007,22.67199639,17.57206442,8.037444707,7.031850205
"81","P2O3O4","OCME","F",18.06903,"OCME-PEAME","ME","N",44.421147,"12 to 28","6/27/19",82,11.6,1.945988826,167.7576574,82,11.6,"7/11/19",41.7,"7/30/19",85,15.1,0.013,53.01199539,28.11378469,26.19977025,19.20119289
"82","G2O3G6","DIME","M",16.92318,"PENME-DIME","ME","N",44.165011,"12 to 28","6/27/19",68,6.3,1.547076773,245.5677418,68,6.3,"7/11/19",41.31,"7/30/19",73,7.5,0.01,31.3064883,19.67564483,15.87330782,9.031408526
"83","R3P4R6","DIME","M",16.92318,"PENME-DIME","ME","N",44.165011,"12 to 28","6/14/19",75,7.9,5.283546668,0.000668803,75,7.9,"7/3/19",40.83,"7/29/19",76,8.9,0.011,38.92805125,27.48950403,16.89792505,20.43071479
"84","O1P4O6","OCME","M",18.06903,"OCME-PEAME","ME","N",44.421147,"12 to 28","6/14/19",62,6.2,5.92283253,0.000955296,62,6.2,"7/3/19",41.27,"7/29/19",66,7.6,0.008,21.93779011,19.98392539,14.83780576,14.8223364
"85","G3R4O6","PENME","M",21.35523,"PENME-DIME","ME","N",44.4663861,"12 to 28","6/13/19",71,8.3,3.862929265,0.000465413,71,8.3,"7/2/19",41.3,"7/26/19",75,9.8,0.012,38.17687864,29.79342082,17.57068739,11.86568805
"86","O2G3O5","RVMA","M",23.49572,"RVMA-EHMA","MA","N",41.674169,"12 to 28","6/13/19",76,10.3,5.860240021,0.000568955,76,10.3,"7/2/19",41.69,"7/26/19",82,14,0.019,55.43978247,51.20340009,34.66859117,42.96750749
"90","R2R3O6","EHMA","M",19.31422,"RVMA-EHMA","MA","N",41.82633,"12 to 28","6/27/19",62,5.3,1.979664403,373.5215855,62,5.3,"7/11/19",41.42,"7/30/19",67,7.3,0.008,29.62209071,22.31513316,12.55740746,5.452437916
"92","R2R3R4","OCME","M",18.06903,"OCME-PEAME","ME","N",44.421147,"12 to 28","6/27/19",60,5,1.546554474,309.3108947,60,5,"7/11/19",41.55,"7/30/19",66,6.4,0.008,28.38260761,17.19306879,11.50493435,5.710651042
"93","G2R4O6","OCME","M",18.06903,"OCME-PEAME","ME","N",44.421147,"12 to 28","6/13/19",63,5.7,6.28333508,0.001102339,63,5.7,"7/3/19",40.9,"7/26/19",64,6.2,0.008,46.28869245,29.46688267,10.79898259,7.413175731
"94","P2R4P5","PEAME","M",15.63283,"OCME-PEAME","ME","N",44.29059,"12 to 28","6/13/19",67,6.6,3.767968321,0.000570904,67,6.6,"7/3/19",41.31,"7/29/19",70,7.6,0.007,27.40491385,17.81990206,11.84893544,16.21159177
"96","R4R5P6","PEAME","F",15.63283,"OCME-PEAME","ME","N",44.29059,"12 to 28","6/13/19",70,10.3,6.468657584,0.000628025,70,10.3,"7/2/19",41.16,"7/26/19",73,10.1,0.007,47.56817896,36.02320248,20.40298887,16.21936171
"97","O2G3O4","EHMA","F",19.31422,"RVMA-EHMA","MA","N",41.82633,"12 to 28","6/27/19",70,8.1,1.917685577,236.7513058,70,8.1,"7/11/19",41.78,"7/30/19",73,9.8,0.013,41.47077036,23.13273325,19.72062611,13.91224198
"99","P2R3O5","RVMA","M",23.49572,"RVMA-EHMA","MA","N",41.674169,"12 to 28","6/13/19",67,6.5,1.989897855,0.000306138,67,6.5,"7/2/19",41.88,"7/26/19",72,7.9,0.01,43.60753491,35.03013264,19.81722042,18.35430131
"100","G2O3G5","PEAME","M",15.63283,"OCME-PEAME","ME","N",44.29059,"12 to 28","6/13/19",62,6.5,5.908438449,0.000908991,62,6.5,"7/3/19",41.38,"7/26/19",72,8.3,0.009,44.51786684,41.13905252,32.35813808,25.46772529
"101","G1G3R6","RVMA","M",23.49572,"RVMA-EHMA","MA","N",41.674169,"12 to 28","6/27/19",68,7.9,1.583745462,200.4741092,68,7.9,"7/11/19",42.08,"7/30/19",75,10.1,0.014,47.04616241,23.57177902,17.64807517,12.77373425
"103","G1R2P5","NOC","M",27.10122,"NJ","NJ","S",39.87,"12 to 28","6/5/19",70,7.1,3.690232728,519.7510885,70,7.1,"6/21/19",42.68,"6/28/19",71,8,0.007,41.97886674,34.09264669,19.66127361,12.4385951
"104","G1R4P6","OCE","M",30.57388,"NJ","NJ","S",39.81,"12 to 28","5/30/19",71,10.9,2.827998618,259.4494145,71,10.9,"6/19/19",42.51,"6/26/19",76,12,0.011,46.78227274,31.8823504,34.16070316,19.32346534
"105","G2G3R5","NOC","F",27.10122,"NJ","NJ","S",39.87,"12 to 28","5/30/19",70,10.5,2.468312819,235.0774114,70,10.5,"6/19/19",42.37,"6/26/19",76,12,0.007,32.23384529,21.08191473,22.6334337,7.834364822
"107","G2P4G5","SOC","F",27.17952,"NJ","NJ","S",39.78,"12 to 28","5/30/19",82,15.2,5.556808758,365.5795236,82,15.2,"6/19/19",42.48,"6/26/19",85,15.1,0.014,61.53887724,42.56742616,40.48079483,25.24571469
"108","G4G5R6","NOC","M",27.10122,"NJ","NJ","S",39.87,"12 to 28","5/30/19",73,10.4,3.575923976,343.8388438,73,10.4,"6/19/19",42.38,"6/26/19",81,13.2,0.011,41.16192716,34.20187529,26.55621318,9.555873606
"110","O1O2R5","NOC","F",27.10122,"NJ","NJ","S",39.87,"12 to 28","5/30/19",74,9.7,3.801622422,391.9198373,74,9.7,"6/19/19",42.66,"6/26/19",77,11.1,0.014,46.26439482,29.91230365,28.017668,8.236858092
"112","P1G2R3","SOC","M",27.17952,"NJ","NJ","S",39.78,"12 to 28","5/30/19",72,9.6,4.799970749,499.9969531,72,9.6,"6/19/19",42.6,"6/26/19",77,11.2,0.014,52.93929634,35.10975847,29.01309281,14.72697659
"114","P2O4G5","SOC","F",27.17952,"NJ","NJ","S",39.78,"12 to 28","6/5/19",71,9.6,4.074517678,424.4289248,71,9.6,"6/21/19",42.57,"6/28/19",71,10.8,0.009,46.21561771,25.13403136,22.78629037,12.89584516
"115","R1G2P4","NOC","F",27.10122,"NJ","NJ","S",39.87,"12 to 28","5/30/19",68,10.5,4.05496584,386.1872229,68,10.5,"6/19/19",42.28,"6/26/19",70,9.7,0.012,45.30001888,16.34162483,32.80001933,19.38482602
"117","R1O2P6","SOC","F",27.17952,"NJ","NJ","S",39.78,"12 to 28","6/5/19",80,16.4,6.7325876,410.5236342,80,16.4,"6/21/19",42.66,"6/28/19",84,19.1,0.021,84.54722034,52.56140248,54.07390745,43.93015278
"118","R3G5O6","OCE","M",30.57388,"NJ","NJ","S",39.81,"12 to 28","5/30/19",73,9,2.615324286,290.5915874,73,9,"6/19/19",42.06,"6/26/19",75,10.8,0.011,41.36851279,27.4624966,25.48697021,10.7986295
"119","R3R5R6","SOC","M",27.17952,"NJ","NJ","S",39.78,"12 to 28","6/4/19",73,11.2,3.845140928,343.3161543,73,11.2,"6/20/19",42.2,"6/27/19",78,12.7,0.01,50.26663076,43.23118995,32.46707846,23.59892897
"121","O1R2G5","OCE","M",30.57388,"NJ","NJ","S",39.81,"12 to 28","6/4/19",68,8.9,4.022226638,451.9355773,68,8.9,"6/20/19",42.49,"6/27/19",71,9.5,0.011,34.08229259,26.45321486,23.83114105,9.752747071
"123","O2R5R6","OCE","M",30.57388,"NJ","NJ","S",39.81,"12 to 28","6/5/19",65,8.3,4.087850364,492.512092,65,8.3,"6/21/19",42.06,"6/28/19",67,9.1,0.009,39.49171636,43.19043799,19.45932701,21.37463412
"124","O3G5R6","SOC","F",27.17952,"NJ","NJ","S",39.78,"12 to 28","6/4/19",72,12.2,3.211196707,263.2128448,72,12.2,"6/20/19",42.79,"6/27/19",82,13.4,0.012,83.08785268,31.74627003,22.30045954,11.9934885
"126","O4O5R6","OCE","F",30.57388,"NJ","NJ","S",39.81,"12 to 28","6/5/19",84,15.7,5.566058249,354.5260031,84,15.7,"6/21/19",42.35,"6/28/19",86,15.5,0.02,61.91235077,47.207017,39.88696967,31.1358075
"129","P2R4G5","OCE","F",30.57388,"NJ","NJ","S",39.81,"12 to 28","6/4/19",72,11,4.176369543,379.6699584,72,11,"6/20/19",42.4,"6/27/19",78,11.8,0.013,40.86334983,32.67528473,33.99211324,26.64345124
"130","R1R2R6","OCE","F",30.57388,"NJ","NJ","S",39.81,"12 to 28","5/30/19",68,8.7,3.096071549,355.870293,68,8.7,"6/19/19",42.55,"6/26/19",70,9.4,0.01,42.71285358,11.12215167,32.13833918,17.76778393
"131","R1R3G6","OCE","M",30.57388,"NJ","NJ","S",39.81,"12 to 28","6/4/19",69,9.8,4.360143028,444.9125539,69,9.8,"6/20/19",42.4,"6/27/19",76,10.7,0.011,40.09142754,34.60974988,25.89656465,18.60311802
"133","R2O3O5","SOC","M",27.17952,"NJ","NJ","S",39.78,"12 to 28","6/4/19",67,8.5,2.656835267,312.568855,67,8.5,"6/20/19",42.12,"6/27/19",70,8.8,0.006,33.67053794,20.68004996,15.06607702,2.806099406
"355","G2R5P6","RVMA","F",23.49572,"RVMA-EHMA","MA","N",41.674169,"12 to 28","6/10/19",71,8.8,5.502911221,0.000625331,71,8.8,"6/24/19",42.12,"7/23/19",75,9.6,0.012,45.58140728,26.73470062,36.12947971,16.83009088
"356","R1R5G6","RVMA","M",23.49572,"RVMA-EHMA","MA","N",41.674169,"12 to 28","6/10/19",72,8.8,5.551891496,0.000630897,72,8.8,"6/24/19",41.15,"7/23/19",74,9.6,0.011,41.93981434,13.85613749,15.4579156,4.138189421
"358","P2R3P4","DIME","F",16.92318,"PENME-DIME","ME","N",44.165011,"12 to 28","6/10/19",70,9.3,6.598721739,0.00070954,70,9.3,"6/24/19",41.84,"7/23/19",81,10.6,0.014,50.56295598,33.37641029,23.89038976,9.702677369
"359","P3R4R6","PENME","M",21.35523,"PENME-DIME","ME","N",44.4663861,"12 to 28","6/10/19",67,6.3,5.040905945,0.000800144,67,6.3,"6/24/19",41.23,"7/23/19",72,8.7,0.01,46.50007871,26.16569589,22.58541255,6.618826556
"360","P1R3O6","PENME","F",21.35523,"PENME-DIME","ME","N",44.4663861,"12 to 28","6/10/19",60,5.4,4.788843037,0.000886823,60,5.4,"6/24/19",42.01,"7/23/19",67,6.1,0.006,32.66023117,29.78288172,25.58029938,12.14182947
"361","G1R2O5","EHMA","F",19.31422,"RVMA-EHMA","MA","N",41.82633,"12 to 28","6/10/19",64,6.2,5.367912698,0.000865792,64,6.2,"6/24/19",42.11,"7/23/19",68,8.4,0.006,53.4909812,23.71934222,20.02670243,1.46486421
"362","O3P4R6","OCME","F",18.06903,"OCME-PEAME","ME","N",44.421147,"12 to 28","6/11/19",62,6.3,4.888789583,0.000775998,62,6.3,"6/25/19",41.77,"7/24/19",66,6.4,0.008,24.76319044,30.30377251,27.84476408,20.06806164
"363","O1R3G4","EHMA","M",19.31422,"RVMA-EHMA","MA","N",41.82633,"12 to 28","6/11/19",62,7,5.07520887,0.00072503,62,7,"6/24/19",42.09,"7/24/19",71,9.4,0.014,33.31433639,23.92393916,13.97873956,7.417001935
"364","G2O5R6","RVMA","M",23.49572,"RVMA-EHMA","MA","N",41.674169,"12 to 28","6/11/19",71,8.9,8.114644616,0.000911758,71,8.9,"6/25/19",41.7,"7/24/19",80,11.8,0.01,56.72767977,38.75714304,31.21744546,20.48881935
"365","P1O3R6","PENME","M",21.35523,"PENME-DIME","ME","N",44.4663861,"12 to 28","6/11/19",64,6.4,5.827376,0.000910528,64,6.4,"6/24/19",41.83,"7/24/19",67,6.9,0.005,38.06324621,1.962288802,12.40241422,6.373651376
"367","G2G3P5","DIME","M",16.92318,"PENME-DIME","ME","N",44.165011,"12 to 28","6/11/19",70,6.1,5.860219085,0.000960692,70,6.1,"6/25/19",41.7,"7/24/19",74,7.2,0.008,33.76188142,34.93271738,24.69487487,19.53106862
"369","R2G3R4","EHMA","M",19.31422,"RVMA-EHMA","MA","N",41.82633,"12 to 28","6/11/19",60,5.6,5.282066841,0.000943226,60,5.6,"6/24/19",41.93,"7/24/19",69,8.2,0.009,43.98323474,35.0712826,13.19496086,21.17494143
"373","G1P4G6","PEAME","M",15.63283,"OCME-PEAME","ME","N",44.29059,"12 to 28","6/12/19",65,5.6,5.317632652,0.000949577,65,5.6,"6/25/19",41.4,"7/25/19",68,6.5,0.007,35.82182481,25.92116839,18.81113063,11.11326957
"374","G3P4P5","PEAME","F",15.63283,"OCME-PEAME","ME","N",44.29059,"12 to 28","6/13/19",80,13.7,7.218764189,0.000526917,80,13.7,"7/2/19",41.44,"7/26/19",85,13.4,0.017,55.51338667,30.55805219,22.68159319,21.43107305
"376","R3G5G6","DIME","M",16.92318,"PENME-DIME","ME","N",44.165011,"12 to 28","6/13/19",62,4.8,3.194983687,0.000665622,62,4.8,"7/2/19",41.58,"7/26/19",66,6,0.004,29.38230258,18.72532198,7.627190038,1.71868192
"377","G3G5O6","EHMA","M",19.31422,"RVMA-EHMA","MA","N",41.82633,"12 to 28","6/14/19",79,14.7,10.07053474,0.00068507,79,14.7,"7/3/19",42.59,"7/29/19",82,18,0.019,56.87391779,42.78262968,30.53500076,29.42690256
"378","R1R3R6","EHMA","F",19.31422,"RVMA-EHMA","MA","N",41.82633,"12 to 28","6/27/19",58,5.5,1.977025473,359.4591769,58,5.5,"7/11/19",41.48,"7/30/19",69,6.4,0.005,29.10460316,20.18925161,12.1777131,6.349660917
"379","O1P3G5","PENME","M",21.35523,"PENME-DIME","ME","N",44.4663861,"12 to 28","6/27/19",57,3.8,1.470601739,387.0004577,57,3.8,"7/11/19",41.85,"7/30/19",63,5.4,0.005,29.07466801,16.93538902,7.372096995,4.325422615
"380","G1G2P5","RVMA","F",23.49572,"RVMA-EHMA","MA","N",41.674169,"12 to 28","6/27/19",70,9.1,1.734390774,190.5923927,70,9.1,"7/11/19",41.81,"7/30/19",73,10.4,0.005,23.27892468,21.34615237,10.36361656,6.859925129
"381","G1O5P6","OCE","M",30.57388,"NJ","NJ","S",39.81,"12 to 28","5/30/19",78,15,3.040926621,202.7284414,78,15,"6/19/19",41.81,"6/26/19",84,16.3,0.017,56.95904086,37.12319878,37.44512833,19.79227346
"382","G1R3G5","SOC","M",27.17952,"NJ","NJ","S",39.78,"12 to 28","5/30/19",72,10.3,3.767923959,365.8178601,72,10.3,"6/19/19",42.45,"6/26/19",77,11.1,0.01,48.82042132,33.04426655,32.44936637,15.29595671
"383","O4G5G6","OCE","F",30.57388,"NJ","NJ","S",39.81,"12 to 28","5/30/19",80,12.7,2.861372849,225.3049487,80,12.7,"6/19/19",41.83,"6/26/19",84,14,0.011,52.96615458,27.23261531,23.53114905,9.988462216
"384","P1G4O5","SOC","M",27.17952,"NJ","NJ","S",39.78,"12 to 28","5/30/19",74,11.4,3.068604679,269.175849,74,11.4,"6/19/19",42.77,"6/26/19",79,12.7,0.013,48.35007476,31.59791537,29.33576979,11.44425871
"385","P1O3R4","NOC","M",27.10122,"NJ","NJ","S",39.87,"12 to 28","5/30/19",80,13.5,5.324838761,394.4325008,80,13.5,"6/19/19",42.28,"6/26/19",87,15.9,0.019,90.38115627,41.26871652,46.7821851,24.82332375
"386","P3R4R5","OCE","M",30.57388,"NJ","NJ","S",39.81,"12 to 28","5/30/19",76,11.8,4.159116354,352.4674876,76,11.8,"6/19/19",42.54,"6/26/19",76,13.2,0.016,59.45817493,49.74749578,38.68243517,24.63063138
"387","R1P2O5","NOC","M",27.10122,"NJ","NJ","S",39.87,"12 to 28","5/30/19",75,12.2,3.148649514,258.0860258,75,12.2,"6/19/19",42,"6/26/19",80,13.9,0.017,85.82417121,54.08256851,43.79276956,26.84653927
